OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
54,2020/06/05 14:00:00+00,0,9,16,8,1,0,3,0,2,0,7,0,3,5,0,39,24,0,1,0,0,0,0,1,3
55,2020/06/06 14:00:00+00,0,9,17,8,1,0,3,0,2,0,7,0,3,5,0,38,24,0,1,0,0,0,0,1,5
56,2020/06/07 14:00:00+00,0,9,17,8,1,0,3,0,2,0,7,0,3,5,0,39,24,0,1,0,0,0,0,1,4
57,2020/06/08 14:00:00+00,0,9,17,8,1,0,3,0,2,0,7,0,3,5,0,39,24,0,1,0,0,0,0,1,3
58,2020/06/09 14:00:00+00,0,9,19,8,1,0,3,0,2,0,7,0,3,5,0,39,24,0,0,0,0,0,0,1,4
59,2020/06/10 14:00:00+00,0,9,19,8,1,0,3,0,2,0,7,0,3,5,0,39,23,0,0,0,0,0,0,1,5
60,2020/06/11 14:00:00+00,0,9,20,8,1,0,3,0,2,0,7,0,3,5,0,39,24,0,0,0,0,0,0,1,3
61,2020/06/12 14:00:00+00,0,9,20,8,1,0,3,0,2,0,7,0,3,5,1,39,24,0,0,0,0,0,0,1,4
62,2020/06/13 14:00:00+00,0,9,21,8,1,0,3,1,2,0,7,0,3,5,1,39,25,0,0,0,0,0,0,1,1
63,2020/06/14 14:00:00+00,0,9,21,9,1,0,3,1,2,0,7,0,3,5,1,39,25,0,0,0,0,0,0,1,1
64,2020/06/15 14:00:00+00,0,9,21,8,1,0,3,1,2,0,7,0,3,5,1,39,25,0,0,0,0,0,0,1,4
65,2020/06/16 14:00:00+00,0,9,21,8,1,0,3,1,2,0,7,0,3,5,1,40,25,0,0,0,0,0,0,1,4
66,2020/06/17 14:00:00+00,0,9,21,8,1,0,2,1,2,0,7,0,3,5,1,40,25,0,0,0,0,0,0,1,4
67,2020/06/18 14:00:00+00,0,9,22,8,1,0,2,1,2,0,7,0,3,5,1,40,25,0,0,0,0,0,0,1,3
68,2020/06/19 14:00:00+00,0,9,22,9,1,0,2,1,2,0,7,0,3,5,1,40,24,0,0,0,0,0,0,1,2
69,2020/06/20 14:00:00+00,0,9,22,9,1,0,2,1,2,0,7,0,3,5,1,40,24,0,0,0,0,0,0,1,2
70,2020/06/21 14:00:00+00,0,9,23,9,1,0,2,1,2,0,7,0,3,5,1,40,24,0,0,0,0,0,0,1,1
71,2020/06/22 14:00:00+00,0,9,23,9,1,0,2,1,2,0,7,0,3,5,1,40,24,0,0,0,0,0,0,1,1
72,2020/06/23 14:00:00+00,0,9,23,9,1,0,2,1,2,0,7,0,3,5,1,40,24,0,0,0,0,0,0,1,1
73,2020/06/24 14:00:00+00,0,9,23,9,1,0,2,1,2,0,7,0,3,5,1,40,24,0,0,0,0,0,0,1,2
74,2020/06/25 14:00:00+00,0,8,22,9,1,0,2,1,2,0,7,0,3,5,1,40,24,0,0,0,0,0,0,1,2
75,2020/06/26 14:00:00+00,0,8,22,9,1,0,2,1,2,0,7,0,3,5,1,39,23,0,0,0,0,0,0,1,3
76,2020/06/27 14:00:00+00,0,8,22,9,1,0,2,1,2,0,7,0,3,5,1,39,24,0,0,0,0,0,0,1,2
77,2020/06/28 14:00:00+00,0,8,22,9,1,0,2,1,2,0,7,0,3,5,1,39,23,0,0,0,0,0,0,1,2
78,2020/06/29 14:00:00+00,0,8,22,9,1,0,2,1,2,0,7,0,3,5,1,39,23,0,0,0,0,0,0,1,3
79,2020/06/30 14:00:00+00,0,8,22,10,1,0,2,1,2,0,7,0,3,5,1,39,24,0,0,0,0,0,0,1,2
80,2020/07/01 14:00:00+00,0,8,22,10,1,0,2,1,2,0,7,0,3,5,1,39,24,1,0,0,0,0,0,1,1
81,2020/07/02 14:00:00+00,0,8,21,10,1,0,2,1,2,0,7,0,3,5,1,39,23,1,0,0,0,0,0,1,1
82,2020/07/03 14:00:00+00,0,8,21,10,1,0,2,1,2,0,7,0,3,5,1,38,23,1,0,0,0,0,0,1,0
83,2020/07/04 14:00:00+00,0,8,21,10,1,0,2,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,0
84,2020/07/05 14:00:00+00,0,8,21,10,1,0,2,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,0
85,2020/07/06 14:00:00+00,0,8,21,10,1,0,2,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,0
86,2020/07/07 14:00:00+00,0,8,21,11,1,0,2,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,0
87,2020/07/08 14:00:00+00,0,8,21,11,1,0,2,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,0
88,2020/07/09 14:00:00+00,0,8,21,12,1,0,2,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,1
89,2020/07/10 14:00:00+00,0,8,22,13,1,0,2,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,2
90,2020/07/11 14:00:00+00,0,8,23,13,1,0,2,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,1
91,2020/07/12 14:00:00+00,0,8,22,13,1,0,3,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,1
