GEOID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019, grand_total ,cbsasub,NMDDA_output
54031970100,,,,,,,,,,,,365098,," $365,098.00 ",NCNTY54031N54031,0
51139030200,,,,,,,,,1118356.35,458391.03,119869.36,0,," $1,696,616.74 ",NCNTY51139N51139,0
,0,5770023,1927616.46,-4018,0,,,,,,,,," $7,693,621.46 ",,
50005957400,,,,228920,201906,3675,,,,,,,," $434,501.00 ",NCNTY50005N50005,0
,,,,,,,,,775558,0,306656,0,," $1,082,214.00 ",,
,,,416530.49,3329094.99,761794.76,2096101.13,1708792.46,481604.5,49723.94,,,,," $8,843,642.27 ",,
13121008800,,,173190,118042,,,,,,,,,," $291,232.00 ",,
,,,,,84910,199047,,,,,,,," $283,957.00 ",,
,,308818,117906.5,61384,70930.5,67676,,-42547,,,,,," $584,168.00 ",,
40109108101,,,,,,,,,,,126374.18,211311.52,21187.11," $358,872.81 ",METRO36420M36420,
40143003100,,,,,255842.88,,,,,,,,," $255,842.88 ",METRO46140M46140,
1089001402,,,,2465093.97,4941994.02,0,0,,,-68933.44,,,," $7,338,154.55 ",,
,,,,,,,,,,,,250000,," $250,000.00 ",,
49055979100,,,,,,,,,124098,0,,,-2090," $122,008.00 ",NCNTY49055N49055,0
55087940000,,,,,,,,,,,121638,0,0," $121,638.00 ",METRO11540M11540,
39119911100,,,,106520,131962.25,,,,,,,,," $238,482.25 ",NCNTY39119N39119,0
2220000100,,,,,,,,,,,,,135719.25," $135,719.25 ",,
6021010400,,,,363790.52,87338,48171.14,,,,,,,," $499,299.66 ",,
,,,,,,,,,,,,213100,," $213,100.00 ",,
22029000500,,227691.6,312876,,,,,,,,,,," $540,567.60 ",,
,,,,189036,,,,,,,,,," $189,036.00 ",,
27135970400,,,,17100,17100,17199.6,17299.2,17398.8,17498.4,,-7.21,,0," $103,588.79 ",,
40125500900,,,74750,,,,,,129323.45,260921.35,136880,594462.25,," $1,196,337.05 ",NCNTY40125N40125,0
2240000400,,,,,,,,,,,,107680,107050," $214,730.00 ",,
49055979100,,,,,,,,,,,,,157407.5," $157,407.50 ",NCNTY49055N49055,0
26125181200,,,,,,,,,89899.2,7239.76,,,-17898.12," $79,240.84 ",,
,,,,,,17943.24,,148959.92,,,,,," $166,903.16 ",,
,,,9707,261079.35,131936.2,53516.24,,,,,,,," $456,238.79 ",,
,,34888,47360,89425,-1000,,,,,,,,," $170,673.00 ",,
18151970800,,,,,134920,288090,929447.46,1351818.64,643980.98,0,,,," $3,348,257.08 ",,
,,132148.21,173721.08,72144,72144,43200,21600,,,,,,," $514,957.29 ",,
40027201101,,,,,,,,,,,7403.4,80176.6,," $87,580.00 ",METRO36420M36420,
28099940100,0,1450867,1965057,1573145.1,-183868.98,,,,,,,,," $4,805,200.12 ",,
,,0,0,120664.23,120664.23,120664.23,59172.08,133718.53,51905.76,,,,," $606,789.06 ",,
,,145156,,119482.81,,73176,,,,,,,," $337,814.81 ",,
,117376.49,,,,,,,,,,,,," $117,376.49 ",,
,,0,0,129162.07,,56850,116221,,,,112116,,," $414,349.07 ",,
,,,94369.98,1805421.52,518040.61,547679.24,1183682.03,1976445.01,323837,0,-13104.32,,," $6,436,371.07 ",,
,,,,35151,73944.71,52494.46,52091.86,54003.17,,-637.11,0,,," $267,048.09 ",,
