GEOID,2016,2017,2018,2019,13qct,14qct,15qct,17qct,16qct,18qct,19qct,NMDDA
26019000400,,1440800,,1540050,0,0,0,0,,0,0,
11001005800,,5559271,6497877,,0,0,0,0,,0,0,
13279970300,,10127318,,,0,0,0,0,,0,0,
22007050300,1945964,,,,0,0,0,0,,0,0,
17031980000,,,,,0,0,0,0,,0,0,
51059481900,352942,709813,778997,9624572,0,0,0,0,0,0,0,
6065030104,,11190096,,,0,0,0,0,0,0,0,
51111930100,,,,,0,0,0,0,0,0,0,1
51029930202,,,,,0,0,0,0,0,0,0,
48029181819,2546655,77028,,,0,0,0,0,0,0,0,
53053062000,0,2636269,5498911,1895375,0,0,0,0,0,0,0,
51159040100,,9878223,,,0,0,0,0,0,0,0,0
19007950400,,,,,0,0,0,0,,0,0,
42091210600,,,9874082,,0,0,0,0,0,0,0,
11001005002,182846,686918,928901,3365917,0,0,0,0,,0,0,
37075920200,,,,,0,0,0,0,0,0,0,0
37017950200,,1122723,4664827,2416313,0,0,0,0,0,0,0,0
12133970103,,,,,0,0,0,0,,0,0,
20099950100,,,,,0,0,0,0,,0,0,
6073020307,,,8899112,,0,0,0,0,0,0,0,
29095016800,,8882291,,,0,0,0,0,,0,0,
39079957400,,683783,,664218,0,0,0,0,0,0,0,0
36045060700,,,,,0,0,0,0,0,0,0,
47143975100,,,,,0,0,0,0,0,0,0,0
11001005800,,,,,0,0,0,0,,0,0,
49035113012,,8678513,,,0,0,0,0,0,0,0,
27021960301,,1445455,5345138,1811315,0,0,0,0,,0,0,
45043920501,,,,,0,0,0,0,0,0,0,1
13185010202,,,,,0,0,0,0,,0,0,
37047930100,,,,,0,0,0,0,0,0,0,0
2150000400,,,4168262,4248262,0,0,0,0,0,0,0,
16035940000,837622,5751603,,,0,0,0,0,,0,0,
13121012300,,8027633,,,0,0,0,0,,0,0,
40109103800,,,,,0,0,0,0,0,0,0,
11001005800,,2894495,,4928090,0,0,0,0,,0,0,
37133000102,,3878000,3878000,,0,0,0,0,0,0,0,
40109109202,,,,,0,0,0,0,0,0,0,
40027202402,,3725527,,,0,0,0,0,0,0,0,
51059422302,,,,7442929,0,0,0,0,0,0,0,
37017950200,,1351873,2008177,4016354,0,0,0,0,0,0,0,0
24031701219,,,3635660,3635660,0,0,0,0,,0,0,
30053000300,,235773,5195223,1754430,0,0,0,0,,0,0,0
6037265202,,,,,0,0,0,0,0,0,0,
11001005800,,2501981,1771107,2736330,0,0,0,0,,0,0,
16079960200,,6981553,0,,0,0,0,0,,0,0,
